names,ethnicities
MILLS JOHN G,american
MISKA VIT W,australian
MITCHELL DAVID M,american
MOORE CHRISTOPHER K,american
MOORE DAVID K,american
MOORE RICHARD,french
MOOSE JR HARRY E,american
SANDERS KRIELLION ANTIONETTE,american
MORRIS THEODORE,american
MOSES RICHARD L,american
PARR MARGARET M,british
MOSKOWITZ NELSON,polish
MOY JOSEPH MAN,american
GREENLIEF MAGDALEN Y,filipino
MULLINS JAMES B,american
MUNSON GENE M,american
MYERS JANE SKELLY,british
MYERS RANDALL P,american
MYRACLE JERRY,french
NAFF DAVID M,american
NASE JEFFREY V,dutch
NELLI RAYMOND A,australian
NELMS DAVID C,american
NELSON PETER A,filipino
NERBUN PETER P,dutch
NEUDER WILLIAM P,american
NG JIN FAY,chinese
NGUYEN NAM X,australian
NIEBLING JOHN F,australian
NILSON ROBERT G,american
NIMMO MORRIS,dutch
NOLAND KENNETH W,american
NOLAND THOMAS,indian
NOVOSAD STEPHEN,nigerian
NOZICK BERNARD,french
NUCKER CHRISTINE M,american
NUTTER NATHAN M,australian
O SHEA SANDRA L,australian
OBERLEITNER ROBERT J,american
OLMS DOUGLAS W,american
OLSZEWSKI ROBERT PAUL,polish
ORE DALE,norwegian
ORESKY LAWRENCE J,american
ORSINO JR JOSEPH,american
OSTRAGER ALLEN M,swedish
PAGE THURMAN K,australian
PAL ASOKKUMAR,indian
PARKER JR ROSCOE,american
PARR TED L,american
PARSONS JR MARION,american
PASCHALL MARK H,american
PATE III WILLIAM F,american
PAUMEN GARY F,american
PEARSON CHARLES A,australian
PEDDER DENNIS H,american
PELLEGRINO STEPHEN C,filipino
PELLINEN A DAVID,filipino
PENLAND RAPHAEL,indian
PERKEY WILLIAM B,american
PETERS JR JOSEPH F,american
PHILLIPS CHARLES E,american
PIANALTO BERNARD D,filipino
PICARD LEO P,dutch
PITLICK HARRIS,australian
PITTS HAROLD I,american
POLLARD STEVEN M,american
POPEK JOSEPH A,british
POWELL WILLIAM A,american
PRESCOTT ARTHUR,american
PRICE CARL D,american
PRICE WILLIAM,australian
PSITOS ARISTOTELIS,filipino
PURCELL ARTHUR FRANCIS,american
RADEMAKER CHARLES A,nigerian
RADUAZO HENRY E,filipino
RAMIREZ RAMON O,filipino
RAMSEY KENNETH J,american
RAMSUER ROBERT W,american
RAYMOND RICHARD L,american
REAMER JAMES H,american
REBSCH DONALD,german
RECLA HENRY J,american
REESE RANDOLPH A,american
REICHLE KARIN M,german
REID STELLA M,american
REILEY III DONALD C,australian
REYNOLDS BRUCE,filipino
RICE KENNETH R,american
RICHARDSON ROBERT,american
RICHMAN BARRY,american
RICHTER SHELDON J,american
RIDGILL JR JAMES,american
RISHELL JR EDMOND G,american
RIVELL JOHN A,australian
RIVERS DIANA,filipino
RIZZO NICHOLAS,italian
ROBERTS JR EDWARD,american
ROBINSON ALLEN JAY,american
ROBINSON DOUGLAS W,american
ROBINSON ELLIS P,american
"ROLLA, JR. JOSEPH J",american
ROLLINS JOHN W,american
ROSE ROBERT A,australian
ROSE SHEP K,american
ROSEN SAM,british
ROSENBAUM C FRED,american
ROSENBAUM MARK,american
ROSENBERG PETER,german
ROSENBERGER RICHARD A,american
ROSENTHAL ARNOLD,german
ROSKOS JOSEPH,american
ROSKOSKI BERNARD,polish
ROTMAN ALAN L,american
ROWAN KURT C,australian
ROY UPENDRA,indian
RUGGIERO JOSEPH F,american
SABA WILLIAM,french
SACHER PAUL,indian
SAFAVI MICHAEL,french
SAFOUREK BENEDICT V,dutch
SAIFER ROBERT W,american
SAKRAN VICTOR N,dutch
SALCE PATRICK R,australian
SALSER DOUGLAS A,spanish
SAROFIM NABIL F,polish
SCHACHER RICHARD,american
SCHAFER RICHARD E,german
SCHAIN HOWARD,american
SCHERBEL DAVID A,filipino
SCHILLING RICHARD L,american
SCHMIDT FREDERICK R,german
SCHOFER JOSEPH,indian
SCHOR KENNETH M,american
SCHREYER STAFFORD,german
SCHROEDER WERNER,german
SCHWADRON MARTIN,american
SCHWARTZ LARRY I,american
SCHWARTZ PAMELA R,american
SCHWARTZ RICHARD A,american
SCOTT JR LEON,american
SCOTT JAMES R,american
SECCURO JR CARMAN J,american
SEIDEL RICHARD K,american
SELLERS ROBERT E,german
SEVER FRANK,german
SEWELL PAUL T,australian
SHAPIRO PAUL,indian
SHAVER PAUL F,american
SHAW CLIFFORD C,australian
SHAW GARETH D,american
SHEDD CHARLES W,american
SHEEHAN JOHN P,australian
SHEPPERD JOHN W,american
SHIFFLETT SUSAN C,australian
SHINE WILLIAM,australian
SHIPPEN MICHAEL L,american
SHOAP ALLAN N,american
SHOOP JR WILLIAM M,american
SHORT F ANNETTE,american
SHORT PATRICIA A,american
SIEGEL ALAN M,american
SIKES WILLIAM L,american
SILBAUGH JAN H,dutch
SILVERBERG FRED A,norwegian
SILVERBERG SAM,norwegian
SILVERMAN STANLEY S,american
SIMMONS DAVID A,australian
SIMONE TIMOTHY F,australian
SIPOS JOHN,german
SKAGGS JR H GRANT,american
SKAPARS ANTHONY,indian
SKILLINGTON GARY L,australian
SKUDY ROBERT,american
SMITH JR DAVID,filipino
SMITH EDWARD J,american
SMITH GARY L,australian
SMITH JAMES G,australian
SMITH JERRY,british
SMITH JOHN DOUGLAS,british
SMITH LEONARD E,american
SMITH WILLIAM F,american
SNEED HELEN,dutch
SNOW WALTER E,american
SONG ROBERT,australian
SORRELL NAOMI H,american
SOTELO JESUS D,filipino
SPAR ROBERT J,swedish
SPEAR JR FRANK,american
SPITZER ROBERT H,american
SPRINGER DAVID B,norwegian
SPRUILL ROBERT,spanish
STAAB LAWRENCE J,american
STEINER ARTHUR,norwegian
STEPHAN STEVEN L,american
STERN RONALD J,norwegian
STEWART DAVID,australian
STINSON FRANKIE L,australian
STODOLA DANIEL P,nigerian
STOLL ROBERT L,american
STONER JR BRUCE H,american
STOUFFER RICHARD T,dutch
STRAUB GARY P,german
STRECKER GERARD R,american
SUCHFIELD GEORGE A,american
SUGARMAN SCOTT J,american
SWANN III GLEN R,australian
SWIATEK ROBERT P,polish
TANNER HARRY B,american
TAPOLCAI WILLIAM E,american
TARCZA THOMAS H,american
TAYLOR BILLY,irish
TAYLOR DENNIS L,american
TERAPANE JR JOHN F,american
THALER MICHAEL H,american
THERKORN ERNEST G,dutch
THESZ JR JOSEPH,american
THEXTON MATTHEW,australian
THIBODEAU PAUL J,australian
THOMAS ALEXANDER S,german
THOMAS JAMES D,american
THOMPSON MARTHINA,indian
THOMPSON WILLIE,australian
THORPE TIMOTHY S,american
THURLOW JEFFERY,british
TOKAR MICHAEL J,swedish
TOLIN GERALD P,norwegian
TONE DAVID,norwegian
TRAFTON DAVID,australian
TRETTEL MICHAEL,german
TUBBESING THEODORE,nigerian
TUDOR HAROLD JAY,romanian
TUFARIELLO THOMAS,italian
TUNG TA HSUNG,chinese
TUPPER ROBERT S,australian
TURNER VINCENT,turkish
TURNIPSEED JAMES,indian
UNDERWOOD DONALD W,american
VALENTINE DONALD R,australian
VALENZA JOSEPH E,american
ARELLANO-LADO CARMEN E,spanish
VAN BALEN WILLIAM,american
VENEY SHEILA H,australian
VRABLIK JOHN J,australian
WACYRA EDWARD MICHAEL,american
WADDELL FREDERICK,american
WALBERG TERESA J,filipino
WALSH DONALD P,american
WALTON GEORGE L,american
WALTZ THOMAS A,german
WARD KAREN L,american
WARDEN ROBERT J,american
WARREN CHARLES F,american
WASIL DANIEL D,polish
WATSON ROBERT C,australian
WATTS DOUGLAS D,american
WAX ROBERT A,polish
WAYNER WILLIAM E,american
WEAVER ROSS,australian
WEAVER SUE A,american
WEIDENFELD GIL,filipino
WEIFFENBACH CAMERON K,australian
WEINSTEIN STEVEN L,american
WEISS JOHN,american
WEISSTUCH AARON,american
WELDON ULYSSES,australian
WELSH JR MAURICE,american
WERNER FRANK E,german
WESTIN EDWARD P,american
WESTON CALEB,australian
WHITTENBAUGH ROBERT,american
WIECKING DAVID,australian
WILLIAMS JR ARCHIE E,american
THOMAS DEBORAH A,american
WILLIAMS LAWRENCE E,american
WILLIS JR PRINCE E,american
WILLIS DAVIS L,american
WILSON JOHN J,american
WINTERCORN RICHARD,dutch
WITKOWSKI STANLEY J,polish
WITYSHYN MICHAEL G,american
WOJCIECHOWICZ EDWARD JOSEPH,polish
WOLFE JR WILLIS RAY,american
WOLFF JOHN H,american
WONG PETER S,chinese
WOO JAY H,chinese
WOODIEL DONALD,dutch
WORD ARTHUR H,american
WRIGHT DIRK,american
WRIGHT WILLIAM G,american
WYSE THOMAS G,australian
YARBROUGH AMELIA,american
YASICH DANIEL,german
YASKO JR JOHN D,american
YEE DEBORAH,french
YEUNG GEORGE CHAN PUI,chinese
YEUNG JAMES C,australian
YOST FRANK,dutch
YU MICKEY,australian
YUEN HENRY C,chinese
YUSKO DONALD,american
ZARFAS LOUIS S,dutch
ZAZWORSKY JOHN,american
ZIEGLER JACOB,german
ZIMMERMAN JOHN J,american
FAY JR HORACE,american
SHAVER KEVIN P,american
NEILS PEGGY A,australian
TALBOTT DAVID L,american
WALKER ALEXANDER,german
PIRLOT DAVID,french
STORMER RUSSELL D,american
REDDICK MARIE L,american
SOLIS JOSE M,spanish
JONES DAVID B,american
PESELEV ELLI,italian
HOFFMAN STACY F,australian
JACKSON JR JEROME,filipino
FORD JOHN K,american
LOCKER HOWARD J,american
PHAN HIEN HUY,australian
EDMONDS WARREN,irish
WOODWARD ANA LUCRECIA,filipino
CLARK SHEILA V,american
CASHION MERRELL C,american
CALLAHAN TIMOTHY P,australian
MAPLES JOHN S,australian
TUMM BRIAN,irish
EVANS GEOFFREY S,dutch
WILSON NEILL R,american
FLANIGAN ALLEN J,american
SHAH MUKUND JETHALAL,indian
WIEDER KENNETH A,dutch
SEIDEL MARIANNE C,filipino
HAMILTON CYNTHIA,american
WILLIAMS HEZRON,american
CLARK DAVID,australian
WILDERMUTH DONNA E,dutch
KELLY DONALD G,american
DRAPER GARNETTE D,german
WISE ROBERT E,german
JOHNSON BLAIR M,american
PENDEGRASS JOAN H,american
THOMPSON GREGORY D,american
WORTH WILLIE M,australian
WIMER MICHAEL C,american
IP SHIK LUEN PAUL,dutch
JONES WILLIAM G,american
HAIL JOSEPH J,american
BROWN PETER R,american
HANNAHER CONSTANTINE,british
MINTEL WILLIAM A,filipino
OLSON ROBERT,american
TSANG CECILIA J,swedish
WEHNER CARY ELLEN,american
SWINEHART EDWIN L,american
MANOHARAN VIRGINIA,indian
HEPPERLE STEPHEN M,american
STARSIAK JOHN S,australian
RO BENTSU,italian
WARREN DAVID S,australian
LEROY DAVID H,american
MOTTOLA STEVEN J,german
TESKA KEVIN J,australian
MACDONALD ALLEN R,australian
OKONSKY DAVID A,nigerian
LEE BENNY T,australian
RUSSEL JEFFREY E,american
SEIDLECK JAMES J,american
THEISEN DOUGLAS J,american
MATECKI KATHERINE A,australian
GORSKI JOSEPH M,polish
STONE JACQUELINE M,australian
CHIN WELLINGTON,chinese
SWANN JUDY J,american
HIRABAYASHI MARTIN J,indian
HASTINGS KAREN M,swedish
HILL JR ROBERT J,american
LINDSEY RODNEY M,australian
BRITTAIN JAMES R,australian
OBERLEY ALVIN E,american
STEINBERGER BRIAN,german
WOODARD JOYE L,american
PRESTON GERALD,australian
BISHOP STEVEN C,australian
LEE DOUGLAS S,american
LUONG VINH,chinese
BUCCI DAVID A,australian
TERRELL WILLIAM E,american
LORIN HUBERT C,romanian
MIS DAVID C,australian
BLACK THOMAS G,australian
PENG JOHN K,chinese
WELDON KEVIN P,american
STERRETT JEFFREY L,american
RUTLEDGE DELLA J,american
ULLAH AKM E,turkish
FOX JOHN C,australian
SHAW DALE M,chinese
PASCAL ROBERT J,french
REINHART MARK J,german
LOBO IAN J,australian
KOSTAK VICTOR R,swedish
ISSING GREGORY C,australian
SOTOMAYOR JOHN B,nigerian
BROWN BRIAN W,american
HEALY BRIAN,irish
SIBIK DAVID A,british
BRINSON TANYA C,filipino
BARRON JR GILBERTO,american
KISLIUK BRUCE M,australian
TESKIN FRED M,american
HOUSE KIMBERLY ANN,american
GOSSAGE GLENN,german
GARLAND STEVEN R,american
HANIG RICHARD E,american
CHIN KAY H,chinese
WALLACE TERRY A,australian
SEVERIN DAVID,turkish
SHOOMAN THEODORE M,british
DESAI SHIRISH A,indian
PRENTY MARK V,australian
TURNER SAMUEL A,american
CARR ROGER B,american
LEE THOMAS C,australian
SMITH RUTH S,australian
KUNTZ CURTIS A,american
MANCUSO JOSEPH,italian
JONES JUDSON,filipino
ROSEEN RICHARD R,american
PUROL DAVID M,american
MUIR DAVID N,spanish
BAKER STEPHEN M,american
MULLEN THOMAS J,american
SHOLL LINDA J,american
ELMORE CAROLYN,irish
HEITBRINK JILL LYNNE,american
LITHGOW THOMAS M,australian
HERNDON HEATHER R,american
THEISEN MARY LYNN F,american
GRAY DAVID M,american
LAYNO BENJAMIN,french
MACHUGA JOSEPH S,dutch
EPPS GEORGIA Y,american
NICHOLSON ERIC K,american
WILL THOMAS B,american
GARCIA ALFONSO,spanish
SHAY DAVID M,american
BEN LOHA,chinese
BRIER JEFFERY A,filipino
CHOTKOWSKI KAREN,australian
CRANMER LAURIE K,american
CHEN JOSE V,dutch
LORENCE RICHARD M,australian
LIMANEK ROBERT P,polish
BAHR ROBERT,german
BOLLINGER DAVID H,american
RICHTER JOHANN R,swedish
CAMBY RICHARD M,australian
KRAWCZEWICZ MYER LOUANNE C,american
SHUTE DOUGLAS M,american
WHITE PATRICIA K,american
HARVEY JACK B,american
BRINICH STEPHEN M,american
HOFSASS JEFFERY A,spanish
RAEVIS ROBERT R,american
PADEN CAROLYN A,australian
CULBRETH ERIC D,american
HARVEY DAVID E,american
GROUP KARL E,dutch
LEWIS AARON J,american
HELLNER MARK,german
CUDA CARMINE,italian
BAGNELL DAVID J,american
SELMAN LEONARD,french
SWARTHOUT BRENT,french
LOGAN SHARON D,american
SNIEZEK ANDREW L,american
DAYOAN DARRELL G,spanish
HUSON GREGORY L,american
HEINRICH SAMUEL M,german
DIXON JOSEPH L,american
ELKINS ROY C,australian
GRAHAM MATTHEW C,australian
SMITH MATTHEW J,australian
RAZAVI MICHAEL,german
KRYZA LYNN M,american
PROCTOR JEAN,french
GREGORY BERNARR E,american
RUSSELL DAVID N,american
CARONE MICHAEL J,american
DANG THI D,chinese
FATAHI YAR MAHMOUD,swedish
CAIN DAVID C,australian
WOOD ELIZABETH D,american
WEINHARDT ROBERT A,american
CRANE SARA W,american
KRIESS KEVIN A,american
YOUNG WAYNE R,australian
NGUYEN VINH P,chinese
RACHUBA MAURINA T,filipino
QUACH TUAN N,australian
SKILLMAN KAREN,american
NGUYEN HOA T,chinese
VINSON BRIAN N,american
COLE RICHARD R,australian
JACKSON GARY,british
SALMON PAUL E,american
CHAN EMILY Y,australian
BARRETT SUZANNE LALE DINO,american
RYAN PATRICK J,american
SHAY RANDY CITRIN,american
FERRITER KARIN L,german
SAUNDERS DAVID A,american
COUSO JOSE L,filipino
BURNS WILLIAM,american
MCINROY RUTH T,british
ELDRED JOHN W,american
SALATA ANTHONY J,australian
VOELTZ EMANUEL T,german
DAVIS JENNA L,australian
HAYES GAIL O,filipino
JOHNSON STEPHEN,american
ROSENBAUM IRENE CUDA,american
MELIUS TERRY L,american
ALLEN STEPHONE B,filipino
RUBIN MARGARET R,australian
WARDEN JILL ALICE,australian
TENTONI LEO B,american
BUI KIM T,chinese
PORTA DAVID P,australian
HOFF MARC S,dutch
KUNEMUND ROBERT M,american
DONOVAN LINCOLN D,american
GAFFIN JEFFREY A,dutch
PIHULIC DANIEL T,romanian
