names,ethnicities
CHAPMAN JR JOHN E,else
CHAUDHURI OLIK,indian
CHERRY JOHNNY DAN,else
CHIESA RICHARD L,nigerian
CHILCOT RICHARD E,british
CHIN-SHUE ALVIN CONSTANTINE,else
CHIN GARY,else
CHIN PETER,else
CHIN STEPHEN,else
CHIN TOMMY P,else
CHURCH CRAIG E,else
CINTINS IVARS C,else
CLARKE VERA,zimbabwean
CLAWSON JR JOSEPH,else
CLINGMAN A,swedish
COAN JAMES F,else
COE PHILIP R,else
COHAN ALAN,swedish
COHEN IRWIN CHARLES,british
COHEN LEE S,else
COHEN MOSHE I,bulgarian
COLES EDWARD L,british
COLLINS DELLA MAE,zimbabwean
COOPER JACK,german
CORBIN ARTHUR L,zimbabwean
CORBIN DAVID,romanian
COVINGTON RAYMOND K,zimbabwean
CRANE DANIEL C,french
CRANSON JR JAMES W,else
CROSLAND DONNIE L,french
CROSS ETHEL R,danish
CROW STEPHEN R,british
CROWDER CLIFFORD D,british
CROYLE CARLTON,british
CUCHLINSKI JR WILLIAM A,polish
CULVER HORACE M,else
CUOMO PETER M,nigerian
WEIMAR ELIZABETH C,dutch
CUSICK ERNEST,dutch
CZAJA DONALD,else
DANG HOANG C,chinese
DAUS DONALD G,danish
DAVIE JAMES W,british
DAVIS JR ALBERT,else
DAWSON ROBERT A,zimbabwean
DEAN RICHARD,zimbabwean
DEBOER TODD,danish
DEES CARL,british
DEES JOSE G,spanish
DEMEO PALMER,hungarian
DEMILLE DANTON D,else
DENTZ BERNARD I,else
DERRINGTON JAMES H,british
DESMOND EUGENE,else
DILDINE JR R STEPHEN,british
DIXON JR WILLIAM R,british
DOLINAR ANDREW M,else
DOLL JOHN J,else
DORNER KENNETH J,danish
DOUGLAS ALAN P,british
DOWNEY MARY F,else
DWYER JAMES L,polish
DZIERZYNSKI PAUL M,polish
CEPERLEY MARY,british
ECHOLS PERCY W,british
EICKHOLT EUGENE H,else
EISENZOPF REINHARD,german
ELEY TIMOTHY V,else
ELKINS GARY E,zimbabwean
WILSON LINDA P,german
ENG DAVID Y,else
ENVALL JR ROY N,else
EPSTEIN HENRY F,else
EVANS ARTHUR G,danish
EVANS FANNIE L,else
EVANS JOSEPH,indian
FALASCO LOUIS V,italian
FALIK ANDREW M,british
FALK JOSEPH,german
FAN JANE T,british
FAVORS EDWARD G,nigerian
FEARS TERRELL W,else
FEIFER MELVIN,danish
FEINBERG CRAIG R,else
FEYRER JAMES,dutch
FIDEI DAVID,french
FIELDS CAROLYN,danish
FISHER J REED,pakistani
FISHER RICHARD V,danish
FLEMING MICHAEL R,danish
FOCARINO MARGARET ANN,spanish
FOELAK MORTON,british
FOOTLAND LENARD A,nigerian
FORD JOHN M,else
FORMAN MICHAEL J,dutch
FOSS J,else
FOSTER JIMMY G,swedish
FRANKFORT CHARLES E,nigerian
FRIDIE JR WILLMON,british
FRIEDMAN CARL D,german
FRIEDMAN STANLEY,german
FRINKS RONALD,german
FROST WILBUR,british
FULLER BENJAMIN R,zimbabwean
FUNDERBURK PENN DORIS,british
GALL LLOYD A,zimbabwean
GALLAGHER JOHN J,zimbabwean
GANDY JAMES M,else
GARBE STEPHEN P,british
GARNER VIVIAN,british
GARRETT ROBERT E,british
GARRIS BRADLEY R,zimbabwean
GARVIN PATRICK,british
GEHMAN BRYON P,else
GELLNER MICHAEL L,german
GENSLER PAUL L,zimbabwean
GERSTL ROBERT,german
GIBSON ROBERT W,british
GILREATH STANLEY,british
GLUCK RICHARD E,british
GODICI NICHOLAS P,french
GOLDBERG GERALD,german
GOLDBERG HOWARD N,german
GOLDBERG JEROME D,danish
GOLDSTEIN HERBERT,german
GOLIAN JOSEPH,zimbabwean
GONZALES JOHN F,else
FONT FRANK G,zimbabwean
GOODROW JOHN L,else
GOODWYN DIANE C,british
GREEN RANDALL L,pakistani
GRIEB WILLIAM H,dutch
GRIFFIN DONALD,british
GRIFFIN RONALD,danish
GRIMLEY ARTHUR,british
GRIMM SIEGFRIED H,german
GRON TEDDY S,british
GROODY JAMES J,else
GROSZ ALEXANDER,polish
GURLEY DONALD M,british
HAFER ROBERT A,swedish
HAJEC DONALD T,dutch
HALL CARL E,swedish
HALVOSA GEORGE,german
HANLEY JOHN C,else
HANNIE SHIRLEY J,dutch
HANNON THOMAS R,zimbabwean
HARKAWAY NATALIA,swedish
HARKCOM GARY V,british
HAROIAN HARRY,british
HARROD PEGGY A,british
HART DOUGLAS,british
HARTARY JOSEPH W,british
HAUGLAND SCOTT J,british
HAYDEN NATHANIEL R,french
HAYES MONROE H,british
HAZEL BLONDEL,french
HEARN BRIAN E,else
HECKER STUART N,german
HECKLER THOMAS M,british
HEINZ ALLEN J,german
HEITBRINK TIMOTHY W,german
HELLER GREGORY,danish
HENDERSON JR CHRISTOPHER A,else
HERBERT JR THOMAS,british
HERRMANN ALLAN D,german
HERSHKOVITZ ABRAHAM,german
HESS BRUCE H,else
HEYMAN JOHN S,british
HEYRANA PAUL,indian
HICKEY ROBERT,german
HILL MITCHELL,british
HILLE ROLF G,danish
HINDENBURG MAX F,german
HIRSCH PAUL J,german
HIX LEE,chinese
HOAG WILLARD,british
HOKE VERONICA P,else
HOLLRAH GLENNON,british
HOLTJE NELSON C,german
HOPPE SHARON S,else
HORNSBY HARVEY,british
HOUSEL JAMES C,french
HOWARD JACQUELINE V,dutch
HOWELL DANIEL W,british
FALCONE JANICE ARRINGTON,british
HOWELL KYLE,british
HRUSKOCI PETER A,bulgarian
HUDSPETH DAVID R,danish
HUNT BROOKS H,german
HUNTER JEANETTE M,german
HUPPERT MICHEAL,german
HURLEY JAN M,else
HUSAR STEPHEN F,else
IRBY VIRGINIA L,else
ISABELLA DAVID J,british
ISEN FORESTER W,danish
SLUBY PATRICIA,else
IVY C WARREN,british
JACKMON HUNTER EDITH,german
JAMES ANDREW,british
JAWORSKI FRANCIS J,polish
JENKINS ROBERT,else
JILLIONS JOHN M,else
MCMILLIAN INEZ R,romanian
JOHNSON RAYMOND B,zimbabwean
JOHNSON VESSELS TERRY M,else
JONES LARRY,british
JORDAN CHARLES T,british
JOYCE HAROLD,dutch
KALAFUT STEPHEN J,british
KAMEN NOAH P,bulgarian
KAMM WILLIAM E,else
KANNAN PHILIP,indian
KARLSEN ERNEST F,german
KASHNIKOW ANDRES,indian
KASTLER SCOTT R,danish
KAZENSKE E ROBERT,german
KEMENY EMANUEL,nigerian
KENDELL LORRAINE,else
KEPPLINGER ESTHER M,else
LUEBKE RENEE S,german
KIGHT III JOHN,nigerian
SCALZO CATHERINE KILBY,british
KILLOS PAUL J,danish
KIMLIN EDWARD C,british
KITTLE JOHN E,else
KOCZO JR MICHAEL,hungarian
KOECKERT JR ARTHUR,dutch
KONOPKA PAUL,indian
KOZMA THOMAS J,else
KRASS ERROL A,turkish
KRATZ PETER F,german
KRIZEK JANICE LEE,british
KRUTER JEROME,german
KULKOSKY PETER F,german
KUNDRAT ANDREW,indian
KUNIN STEPHEN G,else
KWON JOHN,nigerian
KYLE DEBORAH L,zimbabwean
LACEY DAVID LYNN,british
LALL PARSHOTAM S,danish
LANDER FERRIS,swedish
LANGEL WAYNE A,else
LARGEN JAMES,zimbabwean
LARKINS WILLIAM,british
LAROCHE EUGENE,romanian
LARSON LOWELL A,zimbabwean
LAWRENCE DORETHEA,british
LAWRENCE EVAN,nigerian
LATEEF MARVIN M,else
LAZARUS IRA S,dutch
LAZARUS RICHARD B,british
LE HOA VAN,dutch
LEADER WILLIAM T,british
LECHERT JR STEPHEN J,dutch
PUROL SARAH L,else
LECRONE DON,french
LEE JOHN D,else
LEE LESTER,british
LEE MARY C,else
LESMES GEORGE,french
LEUNG PHILIP H,chinese
LEVY STEWART J,british
LEVY STUART S,dutch
LEWIS MICHAEL L,zimbabwean
LIEBERMAN PAUL,french
LILLING HERBERT J,danish
LIN KUANG Y,else
LINDSAY JR ROBERT,else
LIPMAN BERNARD,french
LITTLE WILLIS,danish
LOGAN RUGENIA L,else
LONE WERREN,danish
LOOK EDWARD K,else
LOVE JOHN JOSEPH,british
LOVERING RICHARD D,danish
LOWE JAMES,zimbabwean
LUCAS JAY P,british
LUCAS SUSAN J,else
LUSIGNAN MICHAEL R,else
LYDDANE WILLIAM,french
MACHADO REINALDO,else
MAKAY ALBERT,german
MALZAHN DAVID H,else
MANCENE LOUIS G,french
MAR MICHAEL Y,else
MARCUS STEPHEN,british
MARLO GEORGE J,dutch
MARMOR CHARLES A,zimbabwean
MARQUIS MELVYN I,else
MARS HOWARD,else
MARTIN ROLAND E,else
MARTIN JOHN C,british
MARTIN PATRICIA A,else
MARTINELL JAMES,british
MASINICK MICHAEL A,else
MASSIE JEROME W,french
MATHEWS ALAN A,else
MYERS HELANE ELEANORA,else
MCCAMISH MARION E,zimbabwean
MCELHENY JR DONALD E,dutch
MCFARLANE ANTHONY R,else
MCGLYNN JOSEPH,zimbabwean
MCGRAW VINCENT P,british
MCNALLY JOHN,nigerian
MCQUADE JOHN P,else
MEDLEY MARGARET B,british
MEISLIN DEBRA S,else
MEISTER JAMES M,british
MEROS EDWARD,zimbabwean
METZ ANDREW,german
MEYERS STEVEN N,zimbabwean
MICHALSKY GERALD A,german
MICHL PAUL R,danish
MILES TIM,romanian
WALKER WANDA LYNNE,british
MILLER JR GEORGE,danish
MILLER JR STANLEY D,danish
MILLER CARL STUART,british
MILLER EDWARD A,british
MILLIN VINCENT A,zimbabwean
MILLS JOHN G,else
MISKA VIT W,danish
MITCHELL DAVID M,british
MOORE CHRISTOPHER K,else
MOORE DAVID K,zimbabwean
MOORE RICHARD,german
MOOSE JR HARRY E,dutch
SANDERS KRIELLION ANTIONETTE,dutch
MORRIS THEODORE,british
MOSES RICHARD L,german
PARR MARGARET M,else
MOSKOWITZ NELSON,german
MOY JOSEPH MAN,else
GREENLIEF MAGDALEN Y,else
MULLINS JAMES B,else
MUNSON GENE M,else
MYERS JANE SKELLY,else
MYERS RANDALL P,else
MYRACLE JERRY,french
NAFF DAVID M,swedish
NASE JEFFREY V,french
NELLI RAYMOND A,nigerian
NELMS DAVID C,swedish
NELSON PETER A,nigerian
NERBUN PETER P,german
NEUDER WILLIAM P,dutch
NG JIN FAY,else
NGUYEN NAM X,french
NIEBLING JOHN F,danish
NILSON ROBERT G,zimbabwean
NIMMO MORRIS,italian
NOLAND KENNETH W,british
NOLAND THOMAS,french
NOVOSAD STEPHEN,else
NOZICK BERNARD,french
NUCKER CHRISTINE M,else
NUTTER NATHAN M,else
O SHEA SANDRA L,else
OBERLEITNER ROBERT J,dutch
OLMS DOUGLAS W,else
OLSZEWSKI ROBERT PAUL,polish
ORE DALE,nigerian
ORESKY LAWRENCE J,polish
ORSINO JR JOSEPH,else
OSTRAGER ALLEN M,spanish
PAGE THURMAN K,danish
PAL ASOKKUMAR,dutch
PARKER JR ROSCOE,dutch
PARR TED L,danish
PARSONS JR MARION,else
PASCHALL MARK H,danish
PATE III WILLIAM F,else
PAUMEN GARY F,british
PEARSON CHARLES A,zimbabwean
PEDDER DENNIS H,danish
PELLEGRINO STEPHEN C,italian
PELLINEN A DAVID,nigerian
PENLAND RAPHAEL,french
PERKEY WILLIAM B,british
PETERS JR JOSEPH F,else
PHILLIPS CHARLES E,else
PIANALTO BERNARD D,italian
PICARD LEO P,else
PITLICK HARRIS,british
PITTS HAROLD I,else
POLLARD STEVEN M,british
POPEK JOSEPH A,else
POWELL WILLIAM A,zimbabwean
PRESCOTT ARTHUR,british
PRICE CARL D,else
PRICE WILLIAM,british
PSITOS ARISTOTELIS,greek
PURCELL ARTHUR FRANCIS,british
RADEMAKER CHARLES A,nigerian
RADUAZO HENRY E,spanish
RAMIREZ RAMON O,spanish
RAMSEY KENNETH J,british
RAMSUER ROBERT W,german
RAYMOND RICHARD L,british
REAMER JAMES H,else
REBSCH DONALD,german
RECLA HENRY J,british
REESE RANDOLPH A,danish
REICHLE KARIN M,else
REID STELLA M,swedish
REILEY III DONALD C,british
REYNOLDS BRUCE,else
RICE KENNETH R,else
RICHARDSON ROBERT,else
RICHMAN BARRY,british
RICHTER SHELDON J,british
RIDGILL JR JAMES,british
RISHELL JR EDMOND G,else
RIVELL JOHN A,else
RIVERS DIANA,else
RIZZO NICHOLAS,else
ROBERTS JR EDWARD,dutch
ROBINSON ALLEN JAY,british
ROBINSON DOUGLAS W,british
ROBINSON ELLIS P,else
"ROLLA, JR. JOSEPH J",british
ROLLINS JOHN W,else
ROSE ROBERT A,swedish
ROSE SHEP K,else
ROSEN SAM,turkish
ROSENBAUM C FRED,spanish
ROSENBAUM MARK,danish
ROSENBERG PETER,german
ROSENBERGER RICHARD A,german
ROSENTHAL ARNOLD,german
ROSKOS JOSEPH,greek
ROSKOSKI BERNARD,german
ROTMAN ALAN L,else
ROWAN KURT C,british
ROY UPENDRA,indian
RUGGIERO JOSEPH F,italian
SABA WILLIAM,pakistani
SACHER PAUL,german
SAFAVI MICHAEL,french
SAFOUREK BENEDICT V,zimbabwean
SAIFER ROBERT W,dutch
SAKRAN VICTOR N,swedish
SALCE PATRICK R,french
SALSER DOUGLAS A,danish
SAROFIM NABIL F,pakistani
SCHACHER RICHARD,french
SCHAFER RICHARD E,british
SCHAIN HOWARD,british
SCHERBEL DAVID A,else
SCHILLING RICHARD L,danish
SCHMIDT FREDERICK R,french
SCHOFER JOSEPH,nigerian
SCHOR KENNETH M,else
SCHREYER STAFFORD,danish
SCHROEDER WERNER,german
SCHWADRON MARTIN,british
SCHWARTZ LARRY I,french
SCHWARTZ PAMELA R,german
SCHWARTZ RICHARD A,german
SCOTT JR LEON,british
SCOTT JAMES R,british
SECCURO JR CARMAN J,swedish
SEIDEL RICHARD K,danish
SELLERS ROBERT E,german
SEVER FRANK,german
SEWELL PAUL T,british
SHAPIRO PAUL,zimbabwean
SHAVER PAUL F,dutch
SHAW CLIFFORD C,british
SHAW GARETH D,else
SHEDD CHARLES W,british
SHEEHAN JOHN P,else
SHEPPERD JOHN W,british
SHIFFLETT SUSAN C,else
SHINE WILLIAM,japanese
SHIPPEN MICHAEL L,danish
SHOAP ALLAN N,zimbabwean
SHOOP JR WILLIAM M,else
SHORT F ANNETTE,else
SHORT PATRICIA A,zimbabwean
SIEGEL ALAN M,else
SIKES WILLIAM L,zimbabwean
SILBAUGH JAN H,dutch
SILVERBERG FRED A,german
SILVERBERG SAM,german
SILVERMAN STANLEY S,dutch
SIMMONS DAVID A,nigerian
SIMONE TIMOTHY F,italian
SIPOS JOHN,nigerian
SKAGGS JR H GRANT,danish
SKAPARS ANTHONY,else
SKILLINGTON GARY L,zimbabwean
SKUDY ROBERT,else
SMITH JR DAVID,else
SMITH EDWARD J,dutch
SMITH GARY L,else
SMITH JAMES G,else
SMITH JERRY,british
SMITH JOHN DOUGLAS,british
SMITH LEONARD E,else
SMITH WILLIAM F,german
SNEED HELEN,dutch
SNOW WALTER E,else
SONG ROBERT,chinese
SORRELL NAOMI H,else
SOTELO JESUS D,else
SPAR ROBERT J,swedish
SPEAR JR FRANK,dutch
SPITZER ROBERT H,else
SPRINGER DAVID B,zimbabwean
SPRUILL ROBERT,french
STAAB LAWRENCE J,dutch
STEINER ARTHUR,else
STEPHAN STEVEN L,german
STERN RONALD J,swedish
STEWART DAVID,british
STINSON FRANKIE L,else
STODOLA DANIEL P,bulgarian
STOLL ROBERT L,swedish
STONER JR BRUCE H,else
STOUFFER RICHARD T,swedish
STRAUB GARY P,else
STRECKER GERARD R,german
SUCHFIELD GEORGE A,dutch
SUGARMAN SCOTT J,british
SWANN III GLEN R,danish
SWIATEK ROBERT P,polish
TANNER HARRY B,swedish
TAPOLCAI WILLIAM E,zimbabwean
TARCZA THOMAS H,british
TAYLOR BILLY,zimbabwean
TAYLOR DENNIS L,zimbabwean
TERAPANE JR JOHN F,british
THALER MICHAEL H,british
THERKORN ERNEST G,dutch
THESZ JR JOSEPH,german
THEXTON MATTHEW,nigerian
THIBODEAU PAUL J,french
THOMAS ALEXANDER S,dutch
THOMAS JAMES D,british
THOMPSON MARTHINA,zimbabwean
THOMPSON WILLIE,british
THORPE TIMOTHY S,danish
THURLOW JEFFERY,british
TOKAR MICHAEL J,swedish
TOLIN GERALD P,else
TONE DAVID,hungarian
TRAFTON DAVID,else
TRETTEL MICHAEL,french
TUBBESING THEODORE,nigerian
TUDOR HAROLD JAY,hungarian
TUFARIELLO THOMAS,zimbabwean
TUNG TA HSUNG,chinese
TUPPER ROBERT S,danish
TURNER VINCENT,turkish
TURNIPSEED JAMES,indian
UNDERWOOD DONALD W,else
VALENTINE DONALD R,french
VALENZA JOSEPH E,nigerian
ARELLANO-LADO CARMEN E,spanish
VAN BALEN WILLIAM,british
VENEY SHEILA H,else
VRABLIK JOHN J,british
WACYRA EDWARD MICHAEL,british
WADDELL FREDERICK,zimbabwean
WALBERG TERESA J,polish
WALSH DONALD P,else
WALTON GEORGE L,zimbabwean
WALTZ THOMAS A,german
WARD KAREN L,else
WARDEN ROBERT J,dutch
WARREN CHARLES F,british
WASIL DANIEL D,else
WATSON ROBERT C,british
WATTS DOUGLAS D,zimbabwean
WAX ROBERT A,else
WAYNER WILLIAM E,nigerian
WEAVER ROSS,german
WEAVER SUE A,else
WEIDENFELD GIL,german
WEIFFENBACH CAMERON K,dutch
WEINSTEIN STEVEN L,dutch
WEISS JOHN,french
WEISSTUCH AARON,german
WELDON ULYSSES,british
WELSH JR MAURICE,else
WERNER FRANK E,german
WESTIN EDWARD P,dutch
WESTON CALEB,else
WHITTENBAUGH ROBERT,german
WIECKING DAVID,british
WILLIAMS JR ARCHIE E,else
THOMAS DEBORAH A,else
WILLIAMS LAWRENCE E,nigerian
WILLIS JR PRINCE E,dutch
WILLIS DAVIS L,nigerian
WILSON JOHN J,else
WINTERCORN RICHARD,zimbabwean
WITKOWSKI STANLEY J,polish
WITYSHYN MICHAEL G,zimbabwean
WOJCIECHOWICZ EDWARD JOSEPH,polish
WOLFE JR WILLIS RAY,german
WOLFF JOHN H,swedish
WONG PETER S,else
WOO JAY H,else
WOODIEL DONALD,british
WORD ARTHUR H,british
WRIGHT DIRK,zimbabwean
WRIGHT WILLIAM G,zimbabwean
WYSE THOMAS G,zimbabwean
YARBROUGH AMELIA,french
YASICH DANIEL,german
YASKO JR JOHN D,german
YEE DEBORAH,else
YEUNG GEORGE CHAN PUI,chinese
YEUNG JAMES C,chinese
YOST FRANK,german
YU MICKEY,chinese
YUEN HENRY C,else
YUSKO DONALD,japanese
ZARFAS LOUIS S,else
ZAZWORSKY JOHN,german
ZIEGLER JACOB,else
ZIMMERMAN JOHN J,dutch
FAY JR HORACE,british
SHAVER KEVIN P,else
NEILS PEGGY A,danish
TALBOTT DAVID L,hungarian
WALKER ALEXANDER,german
PIRLOT DAVID,british
STORMER RUSSELL D,else
REDDICK MARIE L,dutch
SOLIS JOSE M,else
JONES DAVID B,nigerian
PESELEV ELLI,italian
HOFFMAN STACY F,else
JACKSON JR JEROME,british
FORD JOHN K,british
LOCKER HOWARD J,british
PHAN HIEN HUY,else
EDMONDS WARREN,else
WOODWARD ANA LUCRECIA,else
CLARK SHEILA V,british
CASHION MERRELL C,spanish
CALLAHAN TIMOTHY P,else
MAPLES JOHN S,else
TUMM BRIAN,british
EVANS GEOFFREY S,greek
WILSON NEILL R,else
FLANIGAN ALLEN J,british
SHAH MUKUND JETHALAL,british
WIEDER KENNETH A,dutch
SEIDEL MARIANNE C,french
HAMILTON CYNTHIA,british
WILLIAMS HEZRON,british
CLARK DAVID,british
WILDERMUTH DONNA E,german
KELLY DONALD G,british
DRAPER GARNETTE D,danish
WISE ROBERT E,nigerian
JOHNSON BLAIR M,else
PENDEGRASS JOAN H,else
THOMPSON GREGORY D,british
WORTH WILLIE M,british
WIMER MICHAEL C,german
IP SHIK LUEN PAUL,else
JONES WILLIAM G,zimbabwean
HAIL JOSEPH J,british
BROWN PETER R,british
HANNAHER CONSTANTINE,french
MINTEL WILLIAM A,else
OLSON ROBERT,else
TSANG CECILIA J,swedish
WEHNER CARY ELLEN,british
SWINEHART EDWIN L,zimbabwean
MANOHARAN VIRGINIA,italian
HEPPERLE STEPHEN M,else
STARSIAK JOHN S,dutch
RO BENTSU,japanese
WARREN DAVID S,else
LEROY DAVID H,else
MOTTOLA STEVEN J,swedish
TESKA KEVIN J,else
MACDONALD ALLEN R,british
OKONSKY DAVID A,russian
LEE BENNY T,british
RUSSEL JEFFREY E,british
SEIDLECK JAMES J,british
THEISEN DOUGLAS J,danish
MATECKI KATHERINE A,else
GORSKI JOSEPH M,else
STONE JACQUELINE M,french
CHIN WELLINGTON,else
SWANN JUDY J,danish
HIRABAYASHI MARTIN J,japanese
HASTINGS KAREN M,else
HILL JR ROBERT J,dutch
LINDSEY RODNEY M,else
BRITTAIN JAMES R,british
OBERLEY ALVIN E,nigerian
STEINBERGER BRIAN,else
WOODARD JOYE L,else
PRESTON GERALD,british
BISHOP STEVEN C,british
LEE DOUGLAS S,british
LUONG VINH,chinese
BUCCI DAVID A,danish
TERRELL WILLIAM E,else
LORIN HUBERT C,romanian
MIS DAVID C,french
BLACK THOMAS G,else
PENG JOHN K,else
WELDON KEVIN P,else
STERRETT JEFFREY L,british
RUTLEDGE DELLA J,zimbabwean
ULLAH AKM E,else
FOX JOHN C,else
SHAW DALE M,else
PASCAL ROBERT J,french
REINHART MARK J,dutch
LOBO IAN J,swedish
KOSTAK VICTOR R,swedish
ISSING GREGORY C,else
SOTOMAYOR JOHN B,nigerian
BROWN BRIAN W,british
HEALY BRIAN,british
SIBIK DAVID A,danish
BRINSON TANYA C,else
BARRON JR GILBERTO,british
KISLIUK BRUCE M,chinese
TESKIN FRED M,else
HOUSE KIMBERLY ANN,british
GOSSAGE GLENN,danish
GARLAND STEVEN R,british
HANIG RICHARD E,german
CHIN KAY H,else
WALLACE TERRY A,zimbabwean
SEVERIN DAVID,french
SHOOMAN THEODORE M,else
DESAI SHIRISH A,danish
PRENTY MARK V,else
TURNER SAMUEL A,turkish
CARR ROGER B,danish
LEE THOMAS C,british
SMITH RUTH S,german
KUNTZ CURTIS A,else
MANCUSO JOSEPH,zimbabwean
JONES JUDSON,else
ROSEEN RICHARD R,british
PUROL DAVID M,else
MUIR DAVID N,nigerian
BAKER STEPHEN M,else
MULLEN THOMAS J,british
SHOLL LINDA J,else
ELMORE CAROLYN,else
HEITBRINK JILL LYNNE,else
LITHGOW THOMAS M,british
HERNDON HEATHER R,else
THEISEN MARY LYNN F,british
GRAY DAVID M,else
LAYNO BENJAMIN,french
MACHUGA JOSEPH S,dutch
EPPS GEORGIA Y,else
NICHOLSON ERIC K,dutch
WILL THOMAS B,british
GARCIA ALFONSO,spanish
SHAY DAVID M,else
BEN LOHA,else
BRIER JEFFERY A,else
CHOTKOWSKI KAREN,polish
CRANMER LAURIE K,dutch
CHEN JOSE V,chinese
LORENCE RICHARD M,british
LIMANEK ROBERT P,british
BAHR ROBERT,german
BOLLINGER DAVID H,chinese
RICHTER JOHANN R,danish
CAMBY RICHARD M,british
KRAWCZEWICZ MYER LOUANNE C,polish
SHUTE DOUGLAS M,british
WHITE PATRICIA K,dutch
HARVEY JACK B,british
BRINICH STEPHEN M,else
HOFSASS JEFFERY A,else
RAEVIS ROBERT R,dutch
PADEN CAROLYN A,else
CULBRETH ERIC D,zimbabwean
HARVEY DAVID E,else
GROUP KARL E,danish
LEWIS AARON J,british
HELLNER MARK,swedish
CUDA CARMINE,british
BAGNELL DAVID J,danish
SELMAN LEONARD,french
SWARTHOUT BRENT,french
LOGAN SHARON D,else
SNIEZEK ANDREW L,polish
DAYOAN DARRELL G,nigerian
HUSON GREGORY L,zimbabwean
HEINRICH SAMUEL M,german
DIXON JOSEPH L,else
ELKINS ROY C,else
GRAHAM MATTHEW C,british
SMITH MATTHEW J,else
RAZAVI MICHAEL,french
KRYZA LYNN M,else
PROCTOR JEAN,french
GREGORY BERNARR E,french
RUSSELL DAVID N,zimbabwean
CARONE MICHAEL J,french
DANG THI D,else
FATAHI YAR MAHMOUD,french
CAIN DAVID C,else
WOOD ELIZABETH D,dutch
WEINHARDT ROBERT A,german
CRANE SARA W,british
KRIESS KEVIN A,else
YOUNG WAYNE R,british
NGUYEN VINH P,else
RACHUBA MAURINA T,dutch
QUACH TUAN N,italian
SKILLMAN KAREN,danish
NGUYEN HOA T,else
VINSON BRIAN N,else
COLE RICHARD R,british
JACKSON GARY,british
SALMON PAUL E,else
CHAN EMILY Y,else
BARRETT SUZANNE LALE DINO,british
RYAN PATRICK J,dutch
SHAY RANDY CITRIN,french
FERRITER KARIN L,swedish
SAUNDERS DAVID A,danish
COUSO JOSE L,spanish
BURNS WILLIAM,british
MCINROY RUTH T,zimbabwean
ELDRED JOHN W,british
SALATA ANTHONY J,british
VOELTZ EMANUEL T,german
DAVIS JENNA L,else
HAYES GAIL O,nigerian
JOHNSON STEPHEN,british
