names,ethnicities
BUEKER RICHARD R,dutch
BUFFALOW EDITH,dutch
BUIZ MIKADO RYAN,spanish
BULLOCK BARBARA J,zimbabwean
BURKE WALLACE,german
BURR EDGAR S,swedish
BUTLER DOUGLAS C,filipino
CALDAROLA GLENN A,filipino
CANGIALOSI SALVATORE A,italian
CANNEY VINCENT P,chinese
CANNON JAMES,south african
CAPOSSELA RONALD C,filipino
CARDILLO JR RAYMOND,filipino
CAROFF MARC L,chinese
CARROLL JAMES J,chinese
CASAREGOLA LOUIS J,french
CHAMBERS A MICHAEL,british
CHAN EDDIE P,chinese
CHAN NICKY,british
CHAPMAN JR JOHN E,chinese
CHAUDHURI OLIK,dutch
CHERRY JOHNNY DAN,filipino
CHIESA RICHARD L,nigerian
CHILCOT RICHARD E,chinese
CHIN-SHUE ALVIN CONSTANTINE,filipino
CHIN GARY,indian
CHIN PETER,chinese
CHIN STEPHEN,chinese
CHIN TOMMY P,chinese
CHURCH CRAIG E,chinese
CINTINS IVARS C,spanish
CLARKE VERA,filipino
CLAWSON JR JOSEPH,filipino
CLINGMAN A,chinese
COAN JAMES F,south african
COE PHILIP R,chinese
COHAN ALAN,turkish
COHEN IRWIN CHARLES,south african
COHEN LEE S,chinese
COHEN MOSHE I,chinese
COLES EDWARD L,british
COLLINS DELLA MAE,belgian
COOPER JACK,nigerian
CORBIN ARTHUR L,british
CORBIN DAVID,romanian
COVINGTON RAYMOND K,chinese
CRANE DANIEL C,chinese
CRANSON JR JAMES W,chinese
CROSLAND DONNIE L,chinese
CROSS ETHEL R,british
CROW STEPHEN R,south african
CROWDER CLIFFORD D,chinese
CROYLE CARLTON,south african
CUCHLINSKI JR WILLIAM A,filipino
CULVER HORACE M,turkish
CUOMO PETER M,nigerian
WEIMAR ELIZABETH C,filipino
CUSICK ERNEST,danish
CZAJA DONALD,lithuanian
DANG HOANG C,chinese
DAUS DONALD G,danish
DAVIE JAMES W,nigerian
DAVIS JR ALBERT,filipino
DAWSON ROBERT A,nigerian
DEAN RICHARD,south african
DEBOER TODD,danish
DEES CARL,dutch
DEES JOSE G,chinese
DEMEO PALMER,nigerian
DEMILLE DANTON D,chinese
DENTZ BERNARD I,swedish
DERRINGTON JAMES H,british
DESMOND EUGENE,south african
DILDINE JR R STEPHEN,british
DIXON JR WILLIAM R,chinese
DOLINAR ANDREW M,chinese
DOLL JOHN J,chinese
DORNER KENNETH J,danish
DOUGLAS ALAN P,chinese
DOWNEY MARY F,chinese
DWYER JAMES L,british
DZIERZYNSKI PAUL M,polish
CEPERLEY MARY,south african
ECHOLS PERCY W,chinese
EICKHOLT EUGENE H,danish
EISENZOPF REINHARD,german
ELEY TIMOTHY V,filipino
ELKINS GARY E,nigerian
WILSON LINDA P,chinese
ENG DAVID Y,chinese
ENVALL JR ROY N,dutch
EPSTEIN HENRY F,dutch
EVANS ARTHUR G,swedish
EVANS FANNIE L,french
EVANS JOSEPH,nigerian
FALASCO LOUIS V,spanish
FALIK ANDREW M,swedish
FALK JOSEPH,indian
FAN JANE T,chinese
FAVORS EDWARD G,danish
FEARS TERRELL W,swedish
FEIFER MELVIN,swedish
FEINBERG CRAIG R,chinese
FEYRER JAMES,south african
FIDEI DAVID,romanian
FIELDS CAROLYN,filipino
FISHER J REED,pakistani
FISHER RICHARD V,swedish
FLEMING MICHAEL R,chinese
FOCARINO MARGARET ANN,french
FOELAK MORTON,south african
FOOTLAND LENARD A,danish
FORD JOHN M,chinese
FORMAN MICHAEL J,chinese
FOSS J,chinese
FOSTER JIMMY G,swedish
FRANKFORT CHARLES E,nigerian
FRIDIE JR WILLMON,swedish
FRIEDMAN CARL D,dutch
FRIEDMAN STANLEY,south african
FRINKS RONALD,dutch
FROST WILBUR,german
FULLER BENJAMIN R,chinese
FUNDERBURK PENN DORIS,turkish
GALL LLOYD A,south african
GALLAGHER JOHN J,chinese
GANDY JAMES M,zimbabwean
GARBE STEPHEN P,chinese
GARNER VIVIAN,norwegian
GARRETT ROBERT E,south african
GARRIS BRADLEY R,south african
GARVIN PATRICK,south african
GEHMAN BRYON P,chinese
GELLNER MICHAEL L,danish
GENSLER PAUL L,chinese
GERSTL ROBERT,danish
GIBSON ROBERT W,zimbabwean
GILREATH STANLEY,british
GLUCK RICHARD E,chinese
GODICI NICHOLAS P,french
GOLDBERG GERALD,german
GOLDBERG HOWARD N,south african
GOLDBERG JEROME D,norwegian
GOLDSTEIN HERBERT,german
GOLIAN JOSEPH,indian
GONZALES JOHN F,chinese
FONT FRANK G,chinese
GOODROW JOHN L,british
GOODWYN DIANE C,filipino
GREEN RANDALL L,british
GRIEB WILLIAM H,danish
GRIFFIN DONALD,south african
GRIFFIN RONALD,south african
GRIMLEY ARTHUR,south african
GRIMM SIEGFRIED H,dutch
GRON TEDDY S,chinese
GROODY JAMES J,chinese
GROSZ ALEXANDER,british
GURLEY DONALD M,british
HAFER ROBERT A,spanish
HAJEC DONALD T,chinese
HALL CARL E,swedish
HALVOSA GEORGE,indian
HANLEY JOHN C,chinese
HANNIE SHIRLEY J,chinese
HANNON THOMAS R,chinese
HARKAWAY NATALIA,russian
HARKCOM GARY V,filipino
HAROIAN HARRY,japanese
HARROD PEGGY A,filipino
HART DOUGLAS,south african
HARTARY JOSEPH W,chinese
HAUGLAND SCOTT J,south african
HAYDEN NATHANIEL R,south african
HAYES MONROE H,bangladeshi
HAZEL BLONDEL,south african
HEARN BRIAN E,british
HECKER STUART N,british
HECKLER THOMAS M,british
HEINZ ALLEN J,danish
HEITBRINK TIMOTHY W,german
HELLER GREGORY,danish
HENDERSON JR CHRISTOPHER A,filipino
HERBERT JR THOMAS,german
HERRMANN ALLAN D,british
HERSHKOVITZ ABRAHAM,french
HESS BRUCE H,south african
HEYMAN JOHN S,chinese
HEYRANA PAUL,bangladeshi
HICKEY ROBERT,british
HILL MITCHELL,british
HILLE ROLF G,danish
HINDENBURG MAX F,german
HIRSCH PAUL J,chinese
HIX LEE,chinese
HOAG WILLARD,norwegian
HOKE VERONICA P,dutch
HOLLRAH GLENNON,south african
HOLTJE NELSON C,norwegian
HOPPE SHARON S,dutch
HORNSBY HARVEY,british
HOUSEL JAMES C,chinese
HOWARD JACQUELINE V,dutch
HOWELL DANIEL W,chinese
FALCONE JANICE ARRINGTON,south african
HOWELL KYLE,british
HRUSKOCI PETER A,turkish
HUDSPETH DAVID R,south african
HUNT BROOKS H,south african
HUNTER JEANETTE M,filipino
HUPPERT MICHEAL,british
HURLEY JAN M,dutch
HUSAR STEPHEN F,south african
IRBY VIRGINIA L,chinese
ISABELLA DAVID J,chinese
ISEN FORESTER W,swedish
SLUBY PATRICIA,filipino
IVY C WARREN,south african
JACKMON HUNTER EDITH,british
JAMES ANDREW,nigerian
JAWORSKI FRANCIS J,polish
JENKINS ROBERT,british
JILLIONS JOHN M,chinese
MCMILLIAN INEZ R,swedish
JOHNSON RAYMOND B,nigerian
JOHNSON VESSELS TERRY M,dutch
JONES LARRY,british
JORDAN CHARLES T,chinese
JOYCE HAROLD,south african
KALAFUT STEPHEN J,chinese
KAMEN NOAH P,danish
KAMM WILLIAM E,bangladeshi
KANNAN PHILIP,indian
KARLSEN ERNEST F,norwegian
KASHNIKOW ANDRES,portugese
KASTLER SCOTT R,danish
KAZENSKE E ROBERT,nigerian
KEMENY EMANUEL,nigerian
KENDELL LORRAINE,british
KEPPLINGER ESTHER M,danish
LUEBKE RENEE S,dutch
KIGHT III JOHN,chinese
SCALZO CATHERINE KILBY,british
KILLOS PAUL J,chinese
KIMLIN EDWARD C,chinese
KITTLE JOHN E,chinese
KOCZO JR MICHAEL,hungarian
KOECKERT JR ARTHUR,german
KONOPKA PAUL,polish
KOZMA THOMAS J,hungarian
KRASS ERROL A,filipino
KRATZ PETER F,german
KRIZEK JANICE LEE,indian
KRUTER JEROME,lithuanian
KULKOSKY PETER F,swedish
KUNDRAT ANDREW,german
KUNIN STEPHEN G,chinese
KWON JOHN,nigerian
KYLE DEBORAH L,south african
LACEY DAVID LYNN,british
LALL PARSHOTAM S,danish
LANDER FERRIS,italian
LANGEL WAYNE A,filipino
LARGEN JAMES,south african
LARKINS WILLIAM,british
LAROCHE EUGENE,french
LARSON LOWELL A,filipino
LAWRENCE DORETHEA,nigerian
LAWRENCE EVAN,filipino
LATEEF MARVIN M,chinese
LAZARUS IRA S,british
LAZARUS RICHARD B,british
LE HOA VAN,belgian
LEADER WILLIAM T,chinese
LECHERT JR STEPHEN J,chinese
PUROL SARAH L,chinese
LECRONE DON,filipino
LEE JOHN D,chinese
LEE LESTER,south african
LEE MARY C,chinese
LESMES GEORGE,nigerian
LEUNG PHILIP H,chinese
LEVY STEWART J,dutch
LEVY STUART S,south african
LEWIS MICHAEL L,zimbabwean
LIEBERMAN PAUL,german
LILLING HERBERT J,danish
LIN KUANG Y,chinese
LINDSAY JR ROBERT,filipino
LIPMAN BERNARD,french
LITTLE WILLIS,german
LOGAN RUGENIA L,chinese
LONE WERREN,norwegian
LOOK EDWARD K,british
LOVE JOHN JOSEPH,indian
LOVERING RICHARD D,danish
LOWE JAMES,british
LUCAS JAY P,filipino
LUCAS SUSAN J,chinese
LUSIGNAN MICHAEL R,chinese
LYDDANE WILLIAM,french
MACHADO REINALDO,spanish
MAKAY ALBERT,hungarian
MALZAHN DAVID H,south african
MANCENE LOUIS G,dutch
MAR MICHAEL Y,chinese
MARCUS STEPHEN,german
MARLO GEORGE J,filipino
MARMOR CHARLES A,filipino
MARQUIS MELVYN I,filipino
MARS HOWARD,danish
MARTIN ROLAND E,danish
MARTIN JOHN C,chinese
MARTIN PATRICIA A,swedish
MARTINELL JAMES,british
MASINICK MICHAEL A,nigerian
MASSIE JEROME W,filipino
MATHEWS ALAN A,bangladeshi
MYERS HELANE ELEANORA,filipino
MCCAMISH MARION E,filipino
MCELHENY JR DONALD E,filipino
MCFARLANE ANTHONY R,chinese
MCGLYNN JOSEPH,zimbabwean
MCGRAW VINCENT P,nigerian
MCNALLY JOHN,british
MCQUADE JOHN P,chinese
MEDLEY MARGARET B,british
MEISLIN DEBRA S,south african
MEISTER JAMES M,south african
MEROS EDWARD,south african
METZ ANDREW,turkish
MEYERS STEVEN N,chinese
MICHALSKY GERALD A,filipino
MICHL PAUL R,german
MILES TIM,filipino
WALKER WANDA LYNNE,south african
MILLER JR GEORGE,danish
MILLER JR STANLEY D,chinese
MILLER CARL STUART,south african
MILLER EDWARD A,filipino
MILLIN VINCENT A,filipino
MILLS JOHN G,danish
MISKA VIT W,danish
MITCHELL DAVID M,south african
MOORE CHRISTOPHER K,british
MOORE DAVID K,south african
MOORE RICHARD,british
MOOSE JR HARRY E,british
SANDERS KRIELLION ANTIONETTE,belgian
MORRIS THEODORE,french
MOSES RICHARD L,chinese
PARR MARGARET M,british
MOSKOWITZ NELSON,polish
MOY JOSEPH MAN,indian
GREENLIEF MAGDALEN Y,british
MULLINS JAMES B,zimbabwean
MUNSON GENE M,chinese
MYERS JANE SKELLY,british
MYERS RANDALL P,swedish
MYRACLE JERRY,french
NAFF DAVID M,zimbabwean
NASE JEFFREY V,chinese
NELLI RAYMOND A,filipino
NELMS DAVID C,chinese
NELSON PETER A,portugese
NERBUN PETER P,chinese
NEUDER WILLIAM P,bangladeshi
NG JIN FAY,chinese
NGUYEN NAM X,french
NIEBLING JOHN F,chinese
NILSON ROBERT G,chinese
NIMMO MORRIS,japanese
NOLAND KENNETH W,dutch
NOLAND THOMAS,german
NOVOSAD STEPHEN,nigerian
NOZICK BERNARD,french
NUCKER CHRISTINE M,swedish
NUTTER NATHAN M,danish
O SHEA SANDRA L,chinese
OBERLEITNER ROBERT J,swedish
OLMS DOUGLAS W,south african
OLSZEWSKI ROBERT PAUL,polish
ORE DALE,norwegian
ORESKY LAWRENCE J,chinese
ORSINO JR JOSEPH,indian
OSTRAGER ALLEN M,danish
PAGE THURMAN K,swedish
PAL ASOKKUMAR,portugese
PARKER JR ROSCOE,dutch
PARR TED L,danish
PARSONS JR MARION,filipino
PASCHALL MARK H,south african
PATE III WILLIAM F,chinese
PAUMEN GARY F,chinese
PEARSON CHARLES A,chinese
PEDDER DENNIS H,danish
PELLEGRINO STEPHEN C,filipino
PELLINEN A DAVID,filipino
PENLAND RAPHAEL,french
PERKEY WILLIAM B,british
PETERS JR JOSEPH F,swedish
PHILLIPS CHARLES E,british
PIANALTO BERNARD D,filipino
PICARD LEO P,dutch
PITLICK HARRIS,british
PITTS HAROLD I,british
POLLARD STEVEN M,dutch
POPEK JOSEPH A,nigerian
POWELL WILLIAM A,british
PRESCOTT ARTHUR,british
PRICE CARL D,chinese
PRICE WILLIAM,british
PSITOS ARISTOTELIS,greek
PURCELL ARTHUR FRANCIS,south african
RADEMAKER CHARLES A,nigerian
RADUAZO HENRY E,spanish
RAMIREZ RAMON O,spanish
RAMSEY KENNETH J,nigerian
RAMSUER ROBERT W,british
RAYMOND RICHARD L,british
REAMER JAMES H,british
REBSCH DONALD,south african
RECLA HENRY J,chinese
REESE RANDOLPH A,filipino
REICHLE KARIN M,danish
REID STELLA M,swedish
REILEY III DONALD C,chinese
REYNOLDS BRUCE,south african
RICE KENNETH R,chinese
RICHARDSON ROBERT,filipino
RICHMAN BARRY,south african
RICHTER SHELDON J,chinese
RIDGILL JR JAMES,british
RISHELL JR EDMOND G,swedish
RIVELL JOHN A,filipino
RIVERS DIANA,filipino
RIZZO NICHOLAS,italian
ROBERTS JR EDWARD,british
ROBINSON ALLEN JAY,filipino
ROBINSON DOUGLAS W,nigerian
ROBINSON ELLIS P,chinese
"ROLLA, JR. JOSEPH J",filipino
ROLLINS JOHN W,danish
ROSE ROBERT A,filipino
ROSE SHEP K,chinese
ROSEN SAM,nigerian
ROSENBAUM C FRED,french
ROSENBAUM MARK,south african
ROSENBERG PETER,german
ROSENBERGER RICHARD A,danish
ROSENTHAL ARNOLD,south african
ROSKOS JOSEPH,nigerian
ROSKOSKI BERNARD,bulgarian
ROTMAN ALAN L,danish
ROWAN KURT C,chinese
ROY UPENDRA,indian
RUGGIERO JOSEPH F,italian
SABA WILLIAM,swedish
SACHER PAUL,bangladeshi
SAFAVI MICHAEL,indian
SAFOUREK BENEDICT V,french
SAIFER ROBERT W,british
SAKRAN VICTOR N,british
SALCE PATRICK R,zimbabwean
SALSER DOUGLAS A,spanish
SAROFIM NABIL F,spanish
SCHACHER RICHARD,french
SCHAFER RICHARD E,chinese
SCHAIN HOWARD,french
SCHERBEL DAVID A,chinese
SCHILLING RICHARD L,danish
SCHMIDT FREDERICK R,south african
SCHOFER JOSEPH,dutch
SCHOR KENNETH M,danish
SCHREYER STAFFORD,british
SCHROEDER WERNER,german
SCHWADRON MARTIN,swedish
SCHWARTZ LARRY I,british
SCHWARTZ PAMELA R,british
SCHWARTZ RICHARD A,german
SCOTT JR LEON,filipino
SCOTT JAMES R,zimbabwean
SECCURO JR CARMAN J,filipino
SEIDEL RICHARD K,german
SELLERS ROBERT E,swedish
SEVER FRANK,dutch
SEWELL PAUL T,chinese
SHAPIRO PAUL,zimbabwean
SHAVER PAUL F,british
SHAW CLIFFORD C,chinese
SHAW GARETH D,south african
SHEDD CHARLES W,chinese
SHEEHAN JOHN P,chinese
SHEPPERD JOHN W,chinese
SHIFFLETT SUSAN C,chinese
SHINE WILLIAM,norwegian
SHIPPEN MICHAEL L,chinese
SHOAP ALLAN N,danish
SHOOP JR WILLIAM M,british
SHORT F ANNETTE,norwegian
SHORT PATRICIA A,filipino
SIEGEL ALAN M,chinese
SIKES WILLIAM L,chinese
SILBAUGH JAN H,south african
SILVERBERG FRED A,norwegian
SILVERBERG SAM,danish
SILVERMAN STANLEY S,south african
SIMMONS DAVID A,british
SIMONE TIMOTHY F,italian
SIPOS JOHN,hungarian
SKAGGS JR H GRANT,swedish
SKAPARS ANTHONY,german
SKILLINGTON GARY L,danish
SKUDY ROBERT,hungarian
SMITH JR DAVID,indian
SMITH EDWARD J,chinese
SMITH GARY L,chinese
SMITH JAMES G,chinese
SMITH JERRY,indian
SMITH JOHN DOUGLAS,british
SMITH LEONARD E,british
SMITH WILLIAM F,british
SNEED HELEN,norwegian
SNOW WALTER E,bangladeshi
SONG ROBERT,chinese
SORRELL NAOMI H,chinese
SOTELO JESUS D,portugese
SPAR ROBERT J,swedish
SPEAR JR FRANK,norwegian
SPITZER ROBERT H,dutch
SPRINGER DAVID B,swedish
SPRUILL ROBERT,british
STAAB LAWRENCE J,swedish
STEINER ARTHUR,norwegian
STEPHAN STEVEN L,french
STERN RONALD J,swedish
STEWART DAVID,british
STINSON FRANKIE L,british
STODOLA DANIEL P,nigerian
STOLL ROBERT L,swedish
STONER JR BRUCE H,british
STOUFFER RICHARD T,danish
STRAUB GARY P,german
STRECKER GERARD R,swedish
SUCHFIELD GEORGE A,nigerian
SUGARMAN SCOTT J,british
SWANN III GLEN R,chinese
SWIATEK ROBERT P,polish
TANNER HARRY B,swedish
TAPOLCAI WILLIAM E,chinese
TARCZA THOMAS H,hungarian
TAYLOR BILLY,south african
TAYLOR DENNIS L,zimbabwean
TERAPANE JR JOHN F,chinese
THALER MICHAEL H,chinese
THERKORN ERNEST G,danish
THESZ JR JOSEPH,bangladeshi
THEXTON MATTHEW,south african
THIBODEAU PAUL J,nigerian
THOMAS ALEXANDER S,british
THOMAS JAMES D,chinese
THOMPSON MARTHINA,south african
THOMPSON WILLIE,belgian
THORPE TIMOTHY S,chinese
THURLOW JEFFERY,british
TOKAR MICHAEL J,swedish
TOLIN GERALD P,chinese
TONE DAVID,danish
TRAFTON DAVID,french
TRETTEL MICHAEL,south african
TUBBESING THEODORE,south african
TUDOR HAROLD JAY,hungarian
TUFARIELLO THOMAS,south african
TUNG TA HSUNG,chinese
TUPPER ROBERT S,british
TURNER VINCENT,british
TURNIPSEED JAMES,pakistani
UNDERWOOD DONALD W,british
VALENTINE DONALD R,south african
VALENZA JOSEPH E,nigerian
ARELLANO-LADO CARMEN E,spanish
VAN BALEN WILLIAM,dutch
VENEY SHEILA H,chinese
VRABLIK JOHN J,chinese
WACYRA EDWARD MICHAEL,polish
WADDELL FREDERICK,south african
WALBERG TERESA J,swedish
WALSH DONALD P,chinese
WALTON GEORGE L,greek
WALTZ THOMAS A,german
WARD KAREN L,british
WARDEN ROBERT J,dutch
WARREN CHARLES F,south african
WASIL DANIEL D,chinese
WATSON ROBERT C,chinese
WATTS DOUGLAS D,british
WAX ROBERT A,dutch
WAYNER WILLIAM E,british
WEAVER ROSS,german
WEAVER SUE A,filipino
WEIDENFELD GIL,german
WEIFFENBACH CAMERON K,danish
WEINSTEIN STEVEN L,norwegian
WEISS JOHN,german
WEISSTUCH AARON,german
WELDON ULYSSES,filipino
WELSH JR MAURICE,filipino
WERNER FRANK E,dutch
WESTIN EDWARD P,south african
WESTON CALEB,south african
WHITTENBAUGH ROBERT,south african
WIECKING DAVID,bangladeshi
WILLIAMS JR ARCHIE E,filipino
THOMAS DEBORAH A,danish
WILLIAMS LAWRENCE E,nigerian
WILLIS JR PRINCE E,dutch
WILLIS DAVIS L,nigerian
WILSON JOHN J,chinese
WINTERCORN RICHARD,south african
WITKOWSKI STANLEY J,polish
WITYSHYN MICHAEL G,chinese
WOJCIECHOWICZ EDWARD JOSEPH,polish
WOLFE JR WILLIS RAY,british
WOLFF JOHN H,chinese
WONG PETER S,chinese
WOO JAY H,chinese
WOODIEL DONALD,south african
WORD ARTHUR H,south african
WRIGHT DIRK,south african
WRIGHT WILLIAM G,chinese
WYSE THOMAS G,chinese
YARBROUGH AMELIA,spanish
YASICH DANIEL,german
YASKO JR JOHN D,chinese
YEE DEBORAH,french
YEUNG GEORGE CHAN PUI,chinese
YEUNG JAMES C,chinese
YOST FRANK,belgian
YU MICKEY,chinese
YUEN HENRY C,chinese
YUSKO DONALD,bulgarian
ZARFAS LOUIS S,south african
ZAZWORSKY JOHN,nigerian
ZIEGLER JACOB,polish
ZIMMERMAN JOHN J,chinese
FAY JR HORACE,filipino
SHAVER KEVIN P,british
NEILS PEGGY A,filipino
TALBOTT DAVID L,chinese
WALKER ALEXANDER,british
PIRLOT DAVID,british
STORMER RUSSELL D,chinese
REDDICK MARIE L,french
SOLIS JOSE M,dutch
JONES DAVID B,chinese
PESELEV ELLI,italian
HOFFMAN STACY F,chinese
JACKSON JR JEROME,filipino
FORD JOHN K,chinese
LOCKER HOWARD J,danish
PHAN HIEN HUY,chinese
EDMONDS WARREN,dutch
WOODWARD ANA LUCRECIA,portugese
CLARK SHEILA V,filipino
CASHION MERRELL C,chinese
CALLAHAN TIMOTHY P,chinese
MAPLES JOHN S,chinese
TUMM BRIAN,bangladeshi
EVANS GEOFFREY S,belgian
WILSON NEILL R,chinese
FLANIGAN ALLEN J,chinese
SHAH MUKUND JETHALAL,indian
WIEDER KENNETH A,dutch
SEIDEL MARIANNE C,swedish
HAMILTON CYNTHIA,south african
WILLIAMS HEZRON,south african
CLARK DAVID,british
WILDERMUTH DONNA E,dutch
KELLY DONALD G,chinese
DRAPER GARNETTE D,british
WISE ROBERT E,french
JOHNSON BLAIR M,chinese
PENDEGRASS JOAN H,danish
THOMPSON GREGORY D,nigerian
WORTH WILLIE M,chinese
WIMER MICHAEL C,filipino
IP SHIK LUEN PAUL,french
JONES WILLIAM G,chinese
HAIL JOSEPH J,chinese
BROWN PETER R,chinese
HANNAHER CONSTANTINE,french
MINTEL WILLIAM A,filipino
OLSON ROBERT,swedish
TSANG CECILIA J,chinese
WEHNER CARY ELLEN,dutch
SWINEHART EDWIN L,dutch
MANOHARAN VIRGINIA,indian
HEPPERLE STEPHEN M,south african
STARSIAK JOHN S,nigerian
RO BENTSU,japanese
WARREN DAVID S,south african
LEROY DAVID H,chinese
MOTTOLA STEVEN J,chinese
TESKA KEVIN J,swedish
MACDONALD ALLEN R,british
OKONSKY DAVID A,nigerian
LEE BENNY T,chinese
RUSSEL JEFFREY E,filipino
SEIDLECK JAMES J,south african
THEISEN DOUGLAS J,danish
MATECKI KATHERINE A,nigerian
GORSKI JOSEPH M,bulgarian
STONE JACQUELINE M,british
CHIN WELLINGTON,south african
SWANN JUDY J,chinese
HIRABAYASHI MARTIN J,japanese
HASTINGS KAREN M,british
HILL JR ROBERT J,swedish
LINDSEY RODNEY M,south african
BRITTAIN JAMES R,zimbabwean
OBERLEY ALVIN E,british
STEINBERGER BRIAN,norwegian
WOODARD JOYE L,chinese
PRESTON GERALD,south african
BISHOP STEVEN C,chinese
LEE DOUGLAS S,south african
LUONG VINH,chinese
BUCCI DAVID A,nigerian
TERRELL WILLIAM E,british
LORIN HUBERT C,romanian
MIS DAVID C,spanish
BLACK THOMAS G,chinese
PENG JOHN K,chinese
WELDON KEVIN P,south african
STERRETT JEFFREY L,british
RUTLEDGE DELLA J,zimbabwean
ULLAH AKM E,bangladeshi
FOX JOHN C,chinese
SHAW DALE M,south african
PASCAL ROBERT J,french
REINHART MARK J,dutch
LOBO IAN J,chinese
KOSTAK VICTOR R,south african
ISSING GREGORY C,chinese
SOTOMAYOR JOHN B,nigerian
BROWN BRIAN W,chinese
HEALY BRIAN,filipino
SIBIK DAVID A,danish
BRINSON TANYA C,chinese
BARRON JR GILBERTO,filipino
KISLIUK BRUCE M,south african
TESKIN FRED M,chinese
HOUSE KIMBERLY ANN,french
GOSSAGE GLENN,german
GARLAND STEVEN R,south african
HANIG RICHARD E,norwegian
CHIN KAY H,chinese
WALLACE TERRY A,filipino
SEVERIN DAVID,turkish
SHOOMAN THEODORE M,swedish
DESAI SHIRISH A,indian
PRENTY MARK V,filipino
TURNER SAMUEL A,filipino
CARR ROGER B,swedish
LEE THOMAS C,chinese
SMITH RUTH S,chinese
KUNTZ CURTIS A,filipino
MANCUSO JOSEPH,indian
JONES JUDSON,south african
ROSEEN RICHARD R,british
PUROL DAVID M,south african
MUIR DAVID N,dutch
BAKER STEPHEN M,british
MULLEN THOMAS J,chinese
SHOLL LINDA J,chinese
ELMORE CAROLYN,filipino
HEITBRINK JILL LYNNE,south african
LITHGOW THOMAS M,british
HERNDON HEATHER R,south african
THEISEN MARY LYNN F,chinese
GRAY DAVID M,south african
LAYNO BENJAMIN,south african
MACHUGA JOSEPH S,nigerian
EPPS GEORGIA Y,swedish
NICHOLSON ERIC K,chinese
WILL THOMAS B,swedish
GARCIA ALFONSO,spanish
SHAY DAVID M,chinese
BEN LOHA,chinese
BRIER JEFFERY A,filipino
CHOTKOWSKI KAREN,polish
CRANMER LAURIE K,british
CHEN JOSE V,filipino
LORENCE RICHARD M,british
LIMANEK ROBERT P,dutch
BAHR ROBERT,swedish
BOLLINGER DAVID H,swedish
RICHTER JOHANN R,south african
CAMBY RICHARD M,swedish
KRAWCZEWICZ MYER LOUANNE C,polish
SHUTE DOUGLAS M,south african
WHITE PATRICIA K,swedish
HARVEY JACK B,british
BRINICH STEPHEN M,south african
HOFSASS JEFFERY A,filipino
RAEVIS ROBERT R,dutch
PADEN CAROLYN A,filipino
CULBRETH ERIC D,chinese
HARVEY DAVID E,british
GROUP KARL E,danish
LEWIS AARON J,chinese
HELLNER MARK,german
CUDA CARMINE,italian
BAGNELL DAVID J,chinese
SELMAN LEONARD,south african
SWARTHOUT BRENT,belgian
LOGAN SHARON D,chinese
SNIEZEK ANDREW L,south african
DAYOAN DARRELL G,spanish
HUSON GREGORY L,chinese
HEINRICH SAMUEL M,dutch
DIXON JOSEPH L,chinese
